"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","entrez"
"2594",1.12520498146152,2.30830618035347,1.80232077468868,1.28074103831611,0.200284640128888,0.291161474276934,NA,"2594"
"2595",2297.59335914873,2.15205095026834,0.147470564297107,14.5930881903498,3.10803835499792e-48,5.12948144187674e-47,"GANC","2595"
"2596",5.94873065008552,2.25668259073203,0.83917696954696,2.6891617294387,0.00716317052887184,0.0144616343401058,"GAP43","2596"
"2597",6.50423948845808,2.16375725964691,0.793425689672266,2.7271076394573,0.0063892192923772,0.0130151090436842,"GAPDH","2597"
"2598",61.7242974913989,2.81769734964599,0.328765700827984,8.57053318685535,1.03006993993501e-17,6.41909969334554e-17,NA,"2598"
"2599",0.671257906189604,2.76111783411823,2.2805626594999,1.2107178123857,0.226003573302983,0.321354622608719,NA,"2599"
"2600",0.359746342224585,-0.175813243892094,2.93054136230913,-0.0599934353950088,0.952160863070232,NA,NA,"2600"
"2601",0.984513163869765,3.31799237391003,1.91994619809008,1.72816945454549,0.0839578483127248,0.136319353137924,"GAPDHP60","2601"
"2602",147.546403463509,0.745888798831113,0.15352632983102,4.85837705917988,1.18351860396004e-06,3.76813505836317e-06,NA,"2602"
"2603",18.1319717086292,-0.0898572516150803,0.415074252847488,-0.21648476386729,0.828609900261407,0.883736890703278,NA,"2603"
"2605",213.572052394679,-0.693577071620747,0.127319885139511,-5.44751568744157,5.10782115522623e-08,1.82185547400107e-07,NA,"2605"
"2607",504.122638013752,0.125581187101098,0.0842659351466326,1.49029601205484,0.136146420616237,0.20864364635979,NA,"2607"
"2608",289.828727762368,0.229192181160171,0.110909355417143,2.0664819509423,0.0387829949269203,0.068008679459197,NA,"2608"
"2609",2701.67202124984,-1.05009139593155,0.0632556548409541,-16.6007513252662,6.88240306992069e-62,1.52990733702098e-60,"GAPDHP67","2609"
"2610",557.534394662836,0.761660885541409,0.0848418590643834,8.97741862260953,2.77193550071098e-19,1.85357465560247e-18,NA,"2610"
"2612",1027.0019757492,0.122545875956245,0.0640184868726971,1.91422637339011,0.0555912373008078,0.094346344465604,NA,"2612"
"2613",2.72682870281873,0.173513480539328,1.0795628829361,0.160725681923615,0.872309461152141,0.913983850309986,"GAPDHP71","2613"
"2614",2.64110959457406,3.71688820446455,1.47963094954158,2.51203734662087,0.0120036384676038,0.0233698314049597,NA,"2614"
"2615",0.316384717980943,1.69735304820774,3.23726419648154,0.524317122480311,0.600057989600419,NA,"LRRC32","2615"
"2618",0.543603841878244,0.784681069533369,2.42042042826329,0.32419205373192,0.74579263769862,0.820915414731102,"GART","2618"
"2619",6.41688549879405,-0.098401534714245,0.701678199196044,-0.140237412003094,0.888472413457043,0.924151770028223,"GAS1","2619"
"2620",1045.5570168771,0.77135662926981,0.0644127907567983,11.9752089640426,4.79228632063558e-33,5.27867831042804e-32,"GAS2","2620"
"2621",2709.18216589196,0.636993774887965,0.057320564059064,11.112831587484,1.08658320883209e-28,1.03516892900888e-27,"GAS6","2621"
"2622",3212.68722535137,0.26091337440776,0.0525599743605241,4.96410771850989,6.90176319453825e-07,2.24741904465543e-06,"DRC4","2622"
"2623",43.3264965685278,-0.772287842861473,0.273116112400087,-2.82769052354608,0.00468851071858263,0.00978189000148228,"GATA1","2623"
"2625",912.003069079075,0.291177664398207,0.0668954500213111,4.35272749201097,1.34454235840466e-05,3.83730931025713e-05,"GATA3","2625"
"2626",0.13581866357583,0.78595520814275,4.0804728567969,0.192613757210411,0.847261469988087,NA,"GATA4","2626"
"2627",1136.29557769252,-1.27059909660391,0.0694532037442641,-18.294319456917,9.18408333656439e-75,2.60298115796704e-73,"GATA6","2627"
"2628",221.63905137434,-0.687050030702805,0.124031088554818,-5.53933726381147,3.03618431620298e-08,1.10323679615876e-07,"GATM","2628"
